2025-11-15 18:20:58,917 [INFO] Starting daemon for workspace: /home/thomas/Workspace/glorious
2025-11-15 18:20:58,918 [INFO] PID 49361 written to /home/thomas/Workspace/glorious/.issues/daemon.pid
2025-11-15 18:20:58,922 [INFO] Daemon started successfully
2025-11-15 18:20:58,922 [INFO] Starting sync loop (mode: poll, interval: 5s)
2025-11-15 18:20:58,931 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:21:03,932 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:21:08,935 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:21:13,937 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:21:18,940 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:21:23,942 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:21:28,944 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:21:33,946 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:21:38,949 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:21:43,950 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:21:48,953 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:21:53,955 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:21:58,957 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:22:03,959 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:22:08,962 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:22:13,963 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:22:18,967 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:22:23,970 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:22:28,973 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:22:33,976 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:22:38,979 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:22:43,982 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:22:48,986 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:22:53,990 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:22:58,993 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:23:03,995 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:23:08,997 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:23:14,000 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:23:19,001 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:23:24,003 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:23:29,005 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:23:34,007 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:23:39,009 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:23:44,011 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:23:49,014 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:23:54,016 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:23:59,018 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:24:04,021 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:24:09,023 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:24:14,025 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:24:19,027 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:24:24,029 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:24:29,031 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:24:34,032 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:24:39,034 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-15 18:24:44,036 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
