2025-11-13 22:00:53,163 [INFO] Starting daemon for workspace: /home/thomas/Workspace/code-atlas
2025-11-13 22:00:53,163 [INFO] PID 7501 written to /home/thomas/Workspace/code-atlas/.issues/daemon.pid
2025-11-13 22:00:53,167 [INFO] Daemon started successfully
2025-11-13 22:00:53,167 [INFO] Starting sync loop (mode: poll, interval: 5s)
2025-11-13 22:00:53,175 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:00:58,177 [INFO] Sync complete: {'exported': 0, 'skipped': 0, 'imported': 0, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:01:03,180 [INFO] Sync complete: {'exported': 1, 'skipped': 0, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:01:08,182 [INFO] Sync complete: {'exported': 1, 'skipped': 1, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:01:13,184 [INFO] Sync complete: {'exported': 0, 'skipped': 2, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:01:18,187 [INFO] Sync complete: {'exported': 1, 'skipped': 2, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:01:23,190 [INFO] Sync complete: {'exported': 0, 'skipped': 3, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:01:28,193 [INFO] Sync complete: {'exported': 1, 'skipped': 3, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:01:33,196 [INFO] Sync complete: {'exported': 1, 'skipped': 4, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:01:38,198 [INFO] Sync complete: {'exported': 0, 'skipped': 5, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:01:43,200 [INFO] Sync complete: {'exported': 1, 'skipped': 5, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:01:48,203 [INFO] Sync complete: {'exported': 1, 'skipped': 6, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:01:53,206 [INFO] Sync complete: {'exported': 0, 'skipped': 7, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:01:58,208 [INFO] Sync complete: {'exported': 1, 'skipped': 7, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:02:03,211 [INFO] Sync complete: {'exported': 0, 'skipped': 8, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:02:08,214 [INFO] Sync complete: {'exported': 1, 'skipped': 8, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:02:13,217 [INFO] Sync complete: {'exported': 0, 'skipped': 9, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:02:18,221 [INFO] Sync complete: {'exported': 1, 'skipped': 9, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:02:23,225 [INFO] Sync complete: {'exported': 1, 'skipped': 10, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:02:28,229 [INFO] Sync complete: {'exported': 0, 'skipped': 11, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:02:33,232 [INFO] Sync complete: {'exported': 1, 'skipped': 11, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:02:38,236 [INFO] Sync complete: {'exported': 0, 'skipped': 12, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:02:43,240 [INFO] Sync complete: {'exported': 1, 'skipped': 12, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:02:48,244 [INFO] Sync complete: {'exported': 1, 'skipped': 13, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:02:53,248 [INFO] Sync complete: {'exported': 0, 'skipped': 14, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:02:58,252 [INFO] Sync complete: {'exported': 1, 'skipped': 14, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:03:03,254 [INFO] Sync complete: {'exported': 0, 'skipped': 15, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:03:08,257 [INFO] Sync complete: {'exported': 1, 'skipped': 15, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:03:13,260 [INFO] Sync complete: {'exported': 0, 'skipped': 16, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:03:18,262 [INFO] Sync complete: {'exported': 1, 'skipped': 16, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:03:23,264 [INFO] Sync complete: {'exported': 0, 'skipped': 17, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:03:28,267 [INFO] Sync complete: {'exported': 1, 'skipped': 17, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:03:33,269 [INFO] Sync complete: {'exported': 0, 'skipped': 18, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:03:38,272 [INFO] Sync complete: {'exported': 1, 'skipped': 18, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:03:43,275 [INFO] Sync complete: {'exported': 0, 'skipped': 19, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:03:48,277 [INFO] Sync complete: {'exported': 1, 'skipped': 19, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:03:53,280 [INFO] Sync complete: {'exported': 0, 'skipped': 20, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:03:58,283 [INFO] Sync complete: {'exported': 0, 'skipped': 20, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:04:03,286 [INFO] Sync complete: {'exported': 0, 'skipped': 20, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:04:08,289 [INFO] Sync complete: {'exported': 0, 'skipped': 20, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:04:13,292 [INFO] Sync complete: {'exported': 0, 'skipped': 20, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:04:18,296 [INFO] Sync complete: {'exported': 0, 'skipped': 20, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:04:23,299 [INFO] Sync complete: {'exported': 0, 'skipped': 20, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:04:28,301 [INFO] Sync complete: {'exported': 0, 'skipped': 20, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:04:33,304 [INFO] Sync complete: {'exported': 0, 'skipped': 20, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:04:38,306 [INFO] Sync complete: {'exported': 0, 'skipped': 20, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:04:43,309 [INFO] Sync complete: {'exported': 0, 'skipped': 20, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:04:48,313 [INFO] Sync complete: {'exported': 0, 'skipped': 20, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:04:53,315 [INFO] Sync complete: {'exported': 0, 'skipped': 20, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:04:58,318 [INFO] Sync complete: {'exported': 0, 'skipped': 20, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:05:03,321 [INFO] Sync complete: {'exported': 0, 'skipped': 20, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:05:08,325 [INFO] Sync complete: {'exported': 0, 'skipped': 20, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:05:13,327 [INFO] Sync complete: {'exported': 0, 'skipped': 20, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:05:18,330 [INFO] Sync complete: {'exported': 0, 'skipped': 20, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:05:23,333 [INFO] Sync complete: {'exported': 1, 'skipped': 19, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:05:28,335 [INFO] Sync complete: {'exported': 0, 'skipped': 20, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:05:33,339 [INFO] Sync complete: {'exported': 0, 'skipped': 20, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:05:38,341 [INFO] Sync complete: {'exported': 0, 'skipped': 20, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:05:43,344 [INFO] Sync complete: {'exported': 0, 'skipped': 20, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:05:48,346 [INFO] Sync complete: {'exported': 0, 'skipped': 20, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:05:53,349 [INFO] Sync complete: {'exported': 0, 'skipped': 20, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:05:58,353 [INFO] Sync complete: {'exported': 0, 'skipped': 20, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:06:03,356 [INFO] Sync complete: {'exported': 0, 'skipped': 20, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:06:08,360 [INFO] Sync complete: {'exported': 0, 'skipped': 20, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:06:13,363 [INFO] Sync complete: {'exported': 0, 'skipped': 20, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:06:18,366 [INFO] Sync complete: {'exported': 0, 'skipped': 20, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:06:23,371 [INFO] Sync complete: {'exported': 0, 'skipped': 20, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:06:28,373 [INFO] Sync complete: {'exported': 0, 'skipped': 20, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 22:06:33,375 [INFO] Sync complete: {'exported': 0, 'skipped': 20, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
