2025-11-13 21:55:36,629 [INFO] Starting daemon for workspace: /home/thomas/Workspace/issues
2025-11-13 21:55:36,629 [INFO] PID 7233 written to /home/thomas/Workspace/issues/.issues/daemon.pid
2025-11-13 21:55:36,635 [INFO] Daemon started successfully
2025-11-13 21:55:36,635 [INFO] Starting sync loop (mode: poll, interval: 5s)
2025-11-13 21:55:36,647 [INFO] Sync complete: {'exported': 167, 'skipped': 0, 'imported': 167, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 21:55:41,651 [INFO] Sync complete: {'exported': 0, 'skipped': 167, 'imported': 167, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 21:55:46,655 [INFO] Sync complete: {'exported': 1, 'skipped': 167, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 21:55:51,659 [INFO] Sync complete: {'exported': 0, 'skipped': 168, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 21:55:56,663 [INFO] Sync complete: {'exported': 1, 'skipped': 168, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 21:56:01,668 [INFO] Sync complete: {'exported': 1, 'skipped': 169, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 21:56:06,676 [INFO] Sync complete: {'exported': 0, 'skipped': 170, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 21:56:11,681 [INFO] Sync complete: {'exported': 1, 'skipped': 170, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 21:56:16,686 [INFO] Sync complete: {'exported': 1, 'skipped': 171, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 21:56:21,691 [INFO] Sync complete: {'exported': 0, 'skipped': 172, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 21:56:26,697 [INFO] Sync complete: {'exported': 1, 'skipped': 172, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 21:56:31,702 [INFO] Sync complete: {'exported': 0, 'skipped': 173, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 21:56:36,708 [INFO] Sync complete: {'exported': 1, 'skipped': 173, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 21:56:41,713 [INFO] Sync complete: {'exported': 1, 'skipped': 174, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 21:56:46,718 [INFO] Sync complete: {'exported': 0, 'skipped': 175, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 21:56:51,722 [INFO] Sync complete: {'exported': 1, 'skipped': 175, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 21:56:56,728 [INFO] Sync complete: {'exported': 0, 'skipped': 176, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 21:57:01,733 [INFO] Sync complete: {'exported': 1, 'skipped': 176, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 21:57:06,738 [INFO] Sync complete: {'exported': 0, 'skipped': 177, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
2025-11-13 21:57:11,744 [INFO] Sync complete: {'exported': 1, 'skipped': 177, 'imported': 1, 'committed': False, 'pulled': False, 'pushed': False, 'errors': []}
